[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:51:29 TP0] Decode batch, #running-req: 1, #token: 11776, token usage: 0.01, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 324.35, #queue-req: 0
[2026-04-02 11:51:29 TP0] Decode batch, #running-req: 1, #token: 11904, token usage: 0.01, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 279.74, #queue-req: 0
[2026-04-02 11:51:29 TP0] Decode batch, #running-req: 1, #token: 12032, token usage: 0.01, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 319.92, #queue-req: 0
[2026-04-02 11:51:30 TP0] Decode batch, #running-req: 1, #token: 12096, token usage: 0.01, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 290.74, #queue-req: 0
[2026-04-02 11:51:30 TP0] Decode batch, #running-req: 1, #token: 12224, token usage: 0.01, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 320.76, #queue-req: 0
[2026-04-02 11:51:30 TP0] Decode batch, #running-req: 1, #token: 12352, token usage: 0.01, accept len: 3.10, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 352.34, #queue-req: 0
[2026-04-02 11:51:31 TP0] Decode batch, #running-req: 1, #token: 12480, token usage: 0.01, accept len: 3.23, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 364.90, #queue-req: 0
[2026-04-02 11:51:31 TP0] Decode batch, #running-req: 1, #token: 12608, token usage: 0.01, accept len: 3.15, accept rate: 0.79, cuda graph: True, gen throughput (token/s): 357.47, #queue-req: 0
[2026-04-02 11:51:31 TP0] Decode batch, #running-req: 1, #token: 12736, token usage: 0.01, accept len: 3.10, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 349.08, #queue-req: 0
[2026-04-02 11:51:32 TP0] Decode batch, #running-req: 1, #token: 12864, token usage: 0.01, accept len: 3.27, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 369.83, #queue-req: 0
[2026-04-02 11:51:32 TP0] Decode batch, #running-req: 1, #token: 12992, token usage: 0.01, accept len: 2.92, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 330.37, #queue-req: 0
[2026-04-02 11:51:33 TP0] Decode batch, #running-req: 1, #token: 13120, token usage: 0.01, accept len: 2.95, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 334.81, #queue-req: 0
[2026-04-02 11:51:33 TP0] Decode batch, #running-req: 1, #token: 13184, token usage: 0.01, accept len: 2.42, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 277.03, #queue-req: 0
[2026-04-02 11:51:33 TP0] Decode batch, #running-req: 1, #token: 13312, token usage: 0.01, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 300.85, #queue-req: 0
[2026-04-02 11:51:34 TP0] Decode batch, #running-req: 1, #token: 13376, token usage: 0.01, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 302.86, #queue-req: 0
[2026-04-02 11:51:34 TP0] Decode batch, #running-req: 1, #token: 13504, token usage: 0.01, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 227.58, #queue-req: 0
[2026-04-02 11:51:34 TP0] Decode batch, #running-req: 1, #token: 13568, token usage: 0.01, accept len: 1.60, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 182.17, #queue-req: 0
[2026-04-02 11:51:35 TP0] Decode batch, #running-req: 1, #token: 13632, token usage: 0.01, accept len: 1.68, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 190.85, #queue-req: 0
[2026-04-02 11:51:35 TP0] Decode batch, #running-req: 1, #token: 13696, token usage: 0.01, accept len: 2.02, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 230.77, #queue-req: 0
[2026-04-02 11:51:35 TP0] Decode batch, #running-req: 1, #token: 13760, token usage: 0.01, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 227.39, #queue-req: 0
